0.86 3.7923 
0.88 3.79246 
0.9 3.79258 
0.92 3.79269 
0.94 3.79278 
0.96 3.79284 
0.98 3.79288 
1 3.7929 


0 3.75953 
0.02 3.75956 
0.04 3.7596 
0.06 3.75967 
0.08 3.75976 
0.1 3.75987 
0.12 3.76001 
0.14 3.76017 
0.16 3.76036 
0.18 3.76058 
0.2 3.76082 
0.22 3.7611 
0.24 3.7614 
0.26 3.76175 
0.28 3.76213 
0.3 3.76255 
0.32 3.76301 
0.34 3.76352 
0.36 3.76408 
0.38 3.76469 
0.4 3.76536 
0.42 3.7661 
0.44 3.76692 
0.46 3.76781 
0.48 3.76878 
0.5 3.76986 
0.52 3.77084 
0.54 3.77173 
0.56 3.77254 
0.58 3.77329 
0.6 3.77397 
0.62 3.77459 
0.64 3.77515 
0.66 3.77567 
0.68 3.77614 
0.7 3.77657 
0.72 3.77696 
0.74 3.77732 
0.76 3.77764 
0.78 3.77793 
0.8 3.77818 
0.82 3.77841 
0.84 3.77862 
0.86 3.7788 
0.88 3.77895 
0.9 3.77908 
0.92 3.77919 
0.94 3.77928 
0.96 3.77934 
0.98 3.77938 
1 3.7794 


0 3.74582 
0.02 3.74584 
0.04 3.74588 
0.06 3.74595 
0.08 3.74604 
0.1 3.74616 
0.12 3.74629 
0.14 3.74646 
0.16 3.74665 
0.18 3.74687 
0.2 3.74711 
0.22 3.74739 
0.24 3.7477 
0.26 3.74805 
0.28 3.74843 
0.3 3.74885 
0.32 3.74932 
0.34 3.74983 
0.36 3.75039 
0.38 3.75101 
0.4 3.75169 
0.42 3.75243 
0.44 3.75325 
0.46 3.75414 
0.48 3.75512 
0.5 3.7562 
0.52 3.75718 
0.54 3.75808 
0.56 3.7589 
0.58 3.75965 
0.6 3.76033 
0.62 3.76095 
0.64 3.76152 
0.66 3.76204 
0.68 3.76252 
0.7 3.76295 
0.72 3.76334 
0.74 3.7637 
0.76 3.76402 
0.78 3.76431 
0.8 3.76457 
0.82 3.76481 
0.84 3.76501 
0.86 3.76519 
0.88 3.76535 
0.9 3.76548 
0.92 3.76559 
0.94 3.76567 
0.96 3.76574 
0.98 3.76578 
1 3.7658 


0 3.73199 
0.02 3.73202 
0.04 3.73206 
0.06 3.73213 
0.08 3.73222 
0.1 3.73234 
0.12 3.73248 
0.14 3.73264 
0.16 3.73283 
0.18 3.73305 
0.2 3.7333 
0.22 3.73358 
0.24 3.73389 
0.26 3.73424 
0.28 3.73463 
0.3 3.73505 
0.32 3.73552 
0.34 3.73604 
0.36 3.7366 
0.38 3.73722 
0.4 3.73791 
0.42 3.73865 
0.44 3.73947 
0.46 3.74037 
